date,dwi
2016-01-01,527
2016-02-01,439
2016-03-01,439
2016-04-01,374
2016-05-01,444
2016-06-01,403
2016-07-01,439
2016-08-01,416
2016-09-01,420
2016-10-01,452
2016-11-01,478
2016-12-01,486
2015-01-01,514
2015-02-01,484
2015-03-01,456
2015-04-01,432
2015-05-01,435
2015-06-01,443
2015-07-01,444
2015-08-01,507
2015-09-01,479
2015-10-01,483
2015-11-01,456
2015-12-01,444
2014-01-01,473
2014-02-01,485
2014-03-01,556
2014-04-01,490
2014-05-01,511
2014-06-01,469
2014-07-01,468
2014-08-01,508
2014-09-01,422
2014-10-01,513
2014-11-01,474
2014-12-01,460
2013-01-01,527
2013-02-01,546
2013-03-01,585
2013-04-01,490
2013-05-01,541
2013-06-01,516
2013-07-01,503
2013-08-01,518
2013-09-01,481
2013-10-01,484
2013-11-01,456
2013-12-01,507
2012-01-01,454
2012-02-01,434
2012-03-01,568
2012-04-01,376
2012-05-01,456
2012-06-01,523
2012-07-01,497
2012-08-01,544
2012-09-01,488
2012-10-01,504
2012-11-01,526
2012-12-01,535
2011-01-01,450
2011-02-01,408
2011-03-01,441
2011-04-01,417
2011-05-01,419
2011-06-01,348
2011-07-01,392
2011-08-01,389
2011-09-01,426
2011-10-01,446
2011-11-01,348
2011-12-01,473
2010-01-01,431
2010-02-01,411
2010-03-01,474
2010-04-01,434
2010-05-01,487
2010-06-01,475
2010-07-01,536
2010-08-01,519
2010-09-01,504
2010-10-01,525
2010-11-01,404
2010-12-01,536
