date,count,narc,treatment
2008-01-01 ,479, NA , 0
2008-02-01 ,482, NA , 0
2008-03-01 ,536, NA , 0
2008-04-01 ,495, NA , 0
2008-05-01 ,560, NA , 0
2008-06-01 ,480, NA , 0
2008-07-01 ,439, NA , 0
2008-08-01 ,545, NA , 0
2008-09-01 ,580, NA , 0
2008-10-01 ,556, NA , 0
2008-11-01 ,526, NA , 0
2008-12-01 ,502, NA , 0
2009-01-01 ,547, NA , 0
2009-02-01 ,492, NA , 0
2009-03-01 ,488, NA , 0
2009-04-01 ,416, NA , 0
2009-05-01 ,409, NA , 0
2009-06-01 ,378, NA , 0
2009-07-01 ,409, NA , 0
2009-08-01 ,502, NA , 0
2009-09-01 ,436, NA , 0
2009-10-01 ,432, NA , 0
2009-11-01 ,440, NA , 0
2009-12-01 ,425, NA , 0
2010-01-01 ,431,620 , 0
2010-02-01 ,411,576 , 0
2010-03-01 ,474,679 , 0
2010-04-01 ,434,636 , 0
2010-05-01 ,487,671 , 0
2010-06-01 ,475,680 , 0
2010-07-01 ,536,736 , 0
2010-08-01 ,519,729 , 0
2010-09-01 ,504,576 , 0
2010-10-01 ,525,604 , 0
2010-11-01 ,404,638 , 0
2010-12-01 ,536,593 , 0
2011-01-01 ,450,599 , 0
2011-02-01 ,408,532 , 0
2011-03-01 ,441,579 , 0
2011-04-01 ,417,621 , 0
2011-05-01 ,419,603 , 0
2011-06-01 ,348,539 , 0
2011-07-01 ,392,603 , 0
2011-08-01 ,389,580 , 0
2011-09-01 ,426,554 , 0
2011-10-01 ,446,503 , 0
2011-11-01 ,348,485 , 0
2011-12-01 ,473,477 , 0
2012-01-01 ,454,583 , 0
2012-02-01 ,434,509 , 0
2012-03-01 ,568,475 , 0
2012-04-01 ,376,480 , 0
2012-05-01 ,456,637 , 0
2012-06-01 ,523,548 , 0
2012-07-01 ,497,561 , 0
2012-08-01 ,544,533 , 0
2012-09-01 ,488,518 , 0
2012-10-01 ,504,478 , 0
2012-11-01 ,526,514 , 0
2012-12-01 ,535,520 , 0
2013-01-01 ,527,593 , 0
2013-02-01 ,546,547 , 0
2013-03-01 ,585,564 , 0
2013-04-01 ,490,561 , 0
2013-05-01 ,541,596 , 0
2013-06-01 ,516,541 , 0
2013-07-01 ,503,584 , 0
2013-08-01 ,518,504 , 0
2013-09-01 ,481,558 , 0
2013-10-01 ,484,513 , 0
2013-11-01 ,456,512 , 0
2013-12-01 ,507,514 , 0
2014-01-01 ,473,522 , 0
2014-02-01 ,485,484 , 0
2014-03-01 ,556,555 , 0
2014-04-01 ,490,609 , 0
2014-05-01 ,511,582 , 0
2014-06-01 ,469,464 , 1
2014-07-01 ,468,481 , 1
2014-08-01 ,508,555 , 1
2014-09-01 ,422,471 , 1
2014-10-01 ,513,551 , 1
2014-11-01 ,474,443 , 1
2014-12-01 ,460,527 , 1
2015-01-01 ,514,531 , 1
2015-02-01 ,484,496 , 1
2015-03-01 ,456,505 , 1
2015-04-01 ,432,515 , 1
2015-05-01 ,435,468 , 1
2015-06-01 ,443,533 , 1
2015-07-01 ,444,489 , 1
2015-08-01 ,507,483 , 1
2015-09-01 ,479,484 , 1
2015-10-01 ,483,499 , 1
2015-11-01 ,456,451 , 1
2015-12-01 ,444,494 , 1
2016-01-01 ,527,597 , 1
2016-02-01 ,439,567 , 1
2016-03-01 ,439,566 , 1
2016-04-01 ,374,497 , 1
2016-05-01 ,444,470 , 2
2016-06-01 ,403,493 , 2
2016-07-01 ,439,534 , 2
2016-08-01 ,416,554 , 2
2016-09-01 ,420,537 , 2
2016-10-01 ,452,518 , 2
2016-11-01 ,478,515 , 2
2016-12-01 ,486,564 , 2
