date,dt.count,count,other
2011-10-01,43.0,446.0,7170.0
2015-05-01,42.0,435.0,5936.0
2014-05-01,68.0,511.0,6145.0
2012-02-01,54.0,434.0,6594.0
2011-11-01,48.0,348.0,6587.0
2012-12-01,55.0,535.0,6478.0
2012-10-01,54.0,504.0,7151.0
2015-08-01,67.0,507.0,5789.0
2010-06-01,53.0,475.0,7792.0
2012-06-01,63.0,523.0,7428.0
2013-10-01,75.0,484.0,6091.0
2016-04-01,37.0,374.0,5598.0
2010-10-01,70.0,525.0,7680.0
2013-09-01,47.0,481.0,5928.0
2010-11-01,36.0,404.0,7007.0
2010-04-01,76.0,434.0,7837.0
2013-05-01,49.0,541.0,7660.0
2012-03-01,67.0,568.0,7558.0
2013-04-01,52.0,490.0,7176.0
2012-01-01,51.0,454.0,6986.0
2010-09-01,65.0,504.0,7631.0
2016-01-01,66.0,527.0,5342.0
2012-04-01,36.0,376.0,7164.0
2014-02-01,77.0,485.0,4987.0
2014-08-01,63.0,508.0,6136.0
2012-09-01,63.0,488.0,6798.0
2015-12-01,53.0,444.0,5103.0
2014-12-01,64.0,460.0,5141.0
2016-06-01,58.0,403.0,5369.0
2015-09-01,60.0,479.0,5542.0
2016-09-01,50.0,420.0,5245.0
2013-12-01,66.0,507.0,5262.0
2014-10-01,71.0,513.0,6108.0
2010-02-01,68.0,411.0,6441.0
2015-02-01,67.0,484.0,5097.0
2011-05-01,65.0,419.0,7988.0
2014-09-01,50.0,422.0,5819.0
2016-11-01,49.0,478.0,4774.0
2015-04-01,44.0,432.0,5963.0
2011-01-01,71.0,450.0,7390.0
2010-05-01,59.0,487.0,8368.0
2011-03-01,57.0,441.0,8003.0
2012-05-01,60.0,456.0,7696.0
2016-03-01,65.0,439.0,5689.0
2011-07-01,60.0,392.0,7804.0
2011-09-01,51.0,426.0,7134.0
2016-07-01,59.0,439.0,5434.0
2010-08-01,66.0,519.0,8544.0
2010-07-01,83.0,536.0,8179.0
2016-08-01,39.0,416.0,5348.0
2011-06-01,40.0,348.0,7627.0
2012-11-01,58.0,526.0,6591.0
2016-05-01,57.0,444.0,5529.0
2012-07-01,47.0,497.0,7523.0
2011-04-01,45.0,417.0,7957.0
2014-03-01,67.0,556.0,5958.0
2013-07-01,68.0,503.0,7235.0
2014-04-01,65.0,490.0,5843.0
2015-11-01,57.0,456.0,4997.0
2015-07-01,45.0,444.0,5937.0
2014-06-01,57.0,469.0,6026.0
2015-01-01,61.0,514.0,5286.0
2013-08-01,62.0,518.0,6966.0
2013-06-01,62.0,516.0,7147.0
2010-01-01,64.0,431.0,6920.0
2016-12-01,56.0,486.0,4807.0
2013-03-01,82.0,585.0,7277.0
2015-03-01,48.0,456.0,6082.0
2010-03-01,57.0,474.0,7950.0
2011-02-01,50.0,408.0,6699.0
2014-01-01,71.0,473.0,5595.0
2013-11-01,55.0,456.0,5150.0
2013-01-01,58.0,527.0,6614.0
2014-07-01,59.0,468.0,6172.0
2012-08-01,71.0,544.0,7025.0
2015-06-01,49.0,443.0,5947.0
2011-12-01,72.0,473.0,6229.0
2010-12-01,70.0,536.0,6860.0
2016-02-01,41.0,439.0,5221.0
2011-08-01,47.0,389.0,7635.0
2014-11-01,73.0,474.0,5040.0
2015-10-01,56.0,483.0,5278.0
2013-02-01,51.0,546.0,6408.0
2016-10-01,66.0,452.0,5221.0
